COLUMNS,VALUE
Maximum Power Intake load Close Loop during sea going (from 3.5%S > 0.1%S Equivalent),
Maximum Power Intake load Close Loop during Manoeuvring (from 3.5%S > 0.5%S Equivalent),
Maximum Power Intake load Close Loop during Manoeuvring (from 3.5%S > 0.1%S Equivalent),
Deplume device available(To reduce white smoke),
Short term IAPP certificate valid until,
Full term IAPP certificate valid until,
Number of boilers on Board,
Manufacturer,
Type / Model,
Capacity / Steam Production,
Normal Working Pressure,
Design Pressure,
Fuel,
Fuel consumption (HFO),
Burner Type / Model,
Heating Surface(Oil fired),
Flue Gas flow rate,
Flue gas temp (outlet),
Number of EGE on Board: (For ME),
Number of EGE on Board: (For AE),
M/E Manufacturer,
M/E Type/Model,
M/E Heating Surface,
M/E Normal working pressure,
M/E Design Pressure,
M/E Steam production,
M/E Exhaust Gas flow rate,
M/E Exhaust gas temp (inlet),
Cargo cranes available onboard?,
Number of cargo cranes onboard,
Crane 1 Make,
Crane 1 Type,
Crane 1 Maximum Load,
Crane 1 Gear Outreach Min,
Crane 1 Gear Outreach Max,
Crane 2 Make,
Crane 2 Type,
Crane 2 Maximum Load,
Crane 2 Gear Outreach Min,
Crane 2 Gear Outreach Max,
Crane 3 Make,
Crane 3 Type,
Crane 3 Maximum Load,
Crane 3 Gear Outreach Min,
Crane 3 Gear Outreach Max,
Crane 4 Make,
Crane 4 Type,
Crane 4 Maximum Load,
Crane 4 Gear Outreach Min,
Crane 4 Gear Outreach Max,
VSL Intakes & General Distribution,
General Arrangement Plan,
Max. Crew Capacity,
Fire and Safety Plan,
Capacity Passengers,
Cargo securing manual,
Capacity Cars,
Capacity plan / bay plan,
Capacity Trailers,
Loading Scale,
Capacity Lanematers,
Deadweight Scale,
Ramp Details,
Trim & Stability booklet,
Registry Certificate Expiry Date,
Letter plan,
Statutory & Classification Certificate (Hull & Machinery) 5 Yearly / Annual,
Onboard Planning & Stability Software name,
Safety Management Certificate Expiry Date,
Onboard Planning & Stability Software is Class Approved?,
Boiler FO Consumption per hour at Max. Rated Operations,
US VGP Compliance,
Is vessel Russian Stowage capable?,
Is Vessel is in MO 32 compliance?,
Is Russian stowage conversion planned?,
Remarks (MO 32),
Remarks,
Has BWTS been Installed?,
Ballast Water Management System fitted (BWMS) Type,
Is vessel retrofitted with New Panama Canal requirement?,
Is BWTS USCG Type Approved?,
Is vessel planned to retrofit with New Panama Canal requirement?,
Is BWTS installation planned?,
Vessel Draft increased?,
"If no, is USCG Exemption in place (until)",
Vessel TEU increased?,
Is vessel suitable for New Zealand trade?,
Main Engine Derated Permanently?,
Remarks (NZ Trade),
Vessel Elongation carried out?,
Is vessel suitable for Canada (Summer)?,
Vessel Deadweight Increased?,
Remarks (Canada summer),
Is vessel suitable for Canada (Winter)?,
Remarks (Canada winter),
Is vessel suitable for USA trade?,
Remarks (USA),
Deck,
Cargo Holds,
Reefer on Deck (powered by Ship's Power + C/O system),
Reefer on Deck (only powered by PPk),
Reefer in Cargo Holds (powered by Ship's Power + C/O system),
Reefer in Cargo Holds (only powered by PPk),
Reefer Sockets SPARE powered by Ship's Power,
Reefer Sockets current installed powered by Ship's Power + C/O Sys.,
Nr. of Reefer Sockets able to be powered with SAFE POWER,
Additional Reefer Sockets Planned for Installation_Deck,
Additional Reefer Sockets Planned for Installation_Cargo,
Auxiliary Engine LOAD for SAFE POWER reference only,
Planned for upgrade,
Estimated readiness,
Power Pack Nr. 1 Capacity (100%),
Power Pack Nr. 2 Capacity (100%),
Power Pack Nr. 3 Capacity (100%),
Power Pack Nr. 4 Capacity (100%),
Max. Power consumption Normal Sea going (Actual),
Max. Power consumption Normal Sea going (Theoretic Load Analysis),
Max. Power cons.for C/H Fans,
Max. Power cons.for CHIQUITA OZONE GENERATOR,
Max. Power cons.for Bow Thruster,
Max. Power cons.for M/E Blowers,
Max. Power cons.for 2nd STEERING PUMP,
